'	exclamation	lex112884.1_ἒ
+ἀνακεφαλαίωσις	noun	lex88147.1_ἀνακεφαλαίωσις
Kαρῶν	verb	lex31428.1_καρόω
Kαρῶν	noun	lex29356.1_κάρ
Kαρῶν	noun	lex29357.1_κάρα
Kαρῶν	noun	lex31436.1_καρώ
Tυραννίων	verb	lex76499.1_τυραννεύω
Tυραννίων	verb	lex76503.1_τυραννιάω
Xείρων	adjective	lex80380.1_χείρων
Xείρων	verb	lex80581.1_χειρόω
oὕτως	adverb	lex49931.1_οὕτως
¨ἰάχοντος	verb	lex115986.1_ἰάχω
¨ἰάχουσα	verb	lex115986.1_ἰάχω
¨ἵσας	verb	lex117777.1_ἵζω
Άδου	noun	lex11593.1_άδος
ΐδιον	noun	lex11597.1_ίδιον
ΐθι	verb	lex24364.1_εἶμι
ΐμεν	verb	lex24364.1_εἶμι
Αθηναίοις	adjective	_Αθηναῖος
Αθηναίοις	adjective	_Αθηναῖος
Αθηναῖοι	adjective	_Αθηναῖος
Ασίας	noun	lex11606.1_ασία
Αφροδίτην	noun	_Αφροδίτης
Αφροδίτην	noun	_Αφροδίτης
Αφροδίτης	noun	_Αφροδίτης
Αἰακίδην	noun	lex17.1_Αἰακίδης
Αἰακοῦ	noun	lex18.1_Αἰακός
Αἰακὸν	noun	lex18.1_Αἰακός
Αἰακῶν	noun	lex13.1_Αἰάκης
Αἰγέα	noun	lex33.1_Αἰγίς
Αἰγέα	noun	lex42.1_Αἰγεύς
Αἰγέα	adjective	lex12222.1_αἴγεος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγίσθω	noun	lex185.1_Αἴγισθος
Αἰγίσθῳ	noun	lex185.1_Αἴγισθος
Αἰγαίωνα	noun	lex36.1_Αἰγαίων
Αἰγαῖον	adjective	lex37.1_Αἰγαῖος
Αἰγεῖ	noun	lex33.1_Αἰγίς
Αἰγεῖ	noun	lex42.1_Αἰγεύς
Αἰγιάλειαν	noun	lex45.1_Αἰγιάλεια
Αἰγιαλός	noun	lex49.1_Αἰγιαλός
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτια	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰγύπτῳ	noun	lex188.1_Αἴγυπτος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγύπτιοι	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰδοῦς	noun	lex11731.1_αἰδώ
Αἰδοῦς	noun	lex11732.1_αἰδώς
Αἰθίοπας	noun	lex84.1_Αἰθίοψ
Αἰθίοπες	noun	lex84.1_Αἰθίοψ
Αἰθιοπίαν	noun	lex90.1_Αἰθιοπία
Αἰθιοπίαν	adjective	lex94.1_Αἰθιόπιος
Αἰθιοπῆας	noun	lex84.1_Αἰθίοψ
Αἰθιόπεσσιν	noun	lex84.1_Αἰθίοψ
Αἰνείαν	noun	lex114.1_Αἰνείας
Αἰνείαο	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνείου	noun	lex114.1_Αἰνείας
Αἰνείω	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνόπαρις	noun	lex122.1_Αἰνόπαρις
Αἰνόπαρις	noun	lex11877.1_αἰνόπαρις
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδη	noun	lex125.1_Αἰολίδης
Αἰολεῖς	noun	lex129.1_Αἰολεύς
Αἰολική	adjective	lex130.1_Αἰολικός
Αἰολικοῦ	adjective	lex130.1_Αἰολικός
Αἰολικωτέρα	adjective	lex130.1_Αἰολικός
Αἰολικόν	adjective	lex130.1_Αἰολικός
Αἰολικὸν	adjective	lex130.1_Αἰολικός
Αἰολικὸς	adjective	lex130.1_Αἰολικός
Αἰολικῶς	adjective	lex130.1_Αἰολικός
Αἰολὶς	noun	lex127.1_Αἰολίς
Αἰολὶς	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰπύ	adjective	lex11932.1_αἰπύς
Αἰπύ	noun	lex131.1_Αἰπύ
Αἰπὺ	adjective	lex11932.1_αἰπύς
Αἰπὺ	noun	lex131.1_Αἰπύ
Αἰσήποιο	noun	lex209.1_Αἴσηπος
Αἰσχρίων	noun	lex144.1_Αἰσχρίων
Αἰσχρίωνι	noun	lex144.1_Αἰσχρίων
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰτίω	adjective	lex12270.1_αἴτιος
Αἰτίω	verb	lex12011.1_αἰτέω
Αἰτωλίαν	noun	lex158.1_Αἰτωλία
Αἰτωλίαν	noun	lex159.1_Αἰτωλίη
Αἰτωλίαν	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex159.1_Αἰτωλίη
Αἰτωλίας	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex158.1_Αἰτωλία
Αἰτωλοῖς	adjective	lex163.1_Αἰτωλός
Αἰτωλοῖς	noun	lex162.1_Αἰτωλοί
Αἰόλου	adjective	lex12073.1_αἰόλος
Αἰόλου	noun	lex205.1_Αἴολος
Αἴαντα	noun	lex175.1_Αἴας
Αἴαντας	noun	lex175.1_Αἴας
Αἴαντες	noun	lex175.1_Αἴας
Αἴαντι	noun	lex175.1_Αἴας
Αἴαντος	noun	lex175.1_Αἴας
Αἴας	noun	lex12276.1_αἶα
Αἴας	noun	lex175.1_Αἴας
Αἴας	noun	lex220.1_Αἶα
Αἴγειον	adjective	lex176.1_Αἴγειος
Αἴγιναν	noun	lex182.1_Αἴγινα
Αἴγυπτον	noun	lex188.1_Αἴγυπτος
Αἴγυπτος	noun	lex188.1_Αἴγυπτος
Αἴγύπτον	noun	lex188.1_Αἴγυπτος
Αἴθρα	noun	lex12239.1_αἴθρη
Αἴθρα	noun	lex194.1_Αἴθρη
Αἴθραν	noun	lex12239.1_αἴθρη
Αἴθραν	noun	lex194.1_Αἴθρη
Αἴθρας	noun	lex194.1_Αἴθρη
Αἴθρας	noun	lex12239.1_αἴθρη
Αἴθρη	noun	lex12239.1_αἴθρη
Αἴθρη	noun	lex194.1_Αἴθρη
Αἴθρῃ	noun	lex12239.1_αἴθρη
Αἴθρῃ	noun	lex194.1_Αἴθρη
Αἴσηπον	noun	lex209.1_Αἴσηπος
Αὐγέα	noun	lex230.1_Αὐγέας
Αὐγέα	adjective	lex12302.1_αὐγής
Αὐγέας	adjective	lex12302.1_αὐγής
Αὐγέας	noun	lex230.1_Αὐγέας
Αὐγέου	noun	lex230.1_Αὐγέας
Αὐγείας	noun	lex231.1_Αὐγείας
Αὐγείου	noun	lex231.1_Αὐγείας
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐλίδος	noun	lex245.1_Αὐλίς
Αὐλὶς	noun	lex245.1_Αὐλίς
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐτομέδοντος	noun	lex273.1_Αὐτομέδων
Αὐτομέδων	noun	lex273.1_Αὐτομέδων
Αὐτόμεδον	noun	lex273.1_Αὐτομέδων
Αὔγης	noun	lex296.1_Αὔγη
Αὔγης	verb	lex12299.1_αὐγέω
Αὖλιν	noun	lex13044.1_αὖλις
Βάκχαις	noun	lex330.1_Βάκχη
Βακχυλίδη	noun	lex468.1_Βακχυλίδης
Βατίειαν	noun	lex517.1_Βατίεια
Βελλεροφόντην	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντης	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντου	noun	lex539.1_Βελλεροφόντης
Βοηθοίδης	noun	_Βοηθοΐδης
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτίαν	noun	lex642.1_Βοιωτία
Βοιωτίαν	adjective	lex653.1_Βοιώτιος
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτίης	adjective	lex653.1_Βοιώτιος
Βοιωτίης	noun	lex642.1_Βοιωτία
Βοιωτίᾳ	noun	lex642.1_Βοιωτία
Βοιωτίᾳ	adjective	lex653.1_Βοιώτιος
Βοιωτιακὴ	adjective	lex648.1_Βοιωτιακός
Βοιωτιακὸς	adjective	lex648.1_Βοιωτιακός
Βοιωτοὺς	noun	lex651.1_Βοιωτός
Βοιωτοῦ	noun	lex651.1_Βοιωτός
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτῶν	noun	lex651.1_Βοιωτός
Βοιωτῷ	noun	lex651.1_Βοιωτός
Βοιώτιος	adjective	lex653.1_Βοιώτιος
Βορέης	noun	lex667.1_Βορέας
Βορέης	noun	lex670.1_Βορέης
Βορέου	noun	lex667.1_Βορέας
Βορέου	noun	lex670.1_Βορέης
Βορέας	noun	lex670.1_Βορέης
Βορέας	noun	lex667.1_Βορέας
Βοσπόρου	noun	lex869.1_Βόσπορος
Βούτα	noun	lex14767.1_βούτης
Βούτα	noun	lex759.1_Βούτης
Βοώτου	noun	lex765.1_Βοώτης
Βοώτου	noun	lex14786.1_βοώτης
Βριάρεω	noun	lex808.1_Βριάρεως
Βρισηΐδα	noun	_Βρισηΐς
Βρισηΐς	noun	_Βρισηΐς
Βρισηῒς	noun	_Βρισηΐς
Βρισηΐδα	noun	_Βρισηΐς
Βρισῆος	noun	lex816.1_Βρισεύς
Βρόμιον	verb	lex15064.1_βρομέω
Βρόμιον	adjective	lex15183.1_βρόμιος
Βρόμιον	adjective	lex833.1_Βρόμιος
Βῆλος	noun	lex884.1_Βῆλος
Βῆσαν	verb	lex13227.1_βαίνω
Γάργαρον	noun	lex918.1_Γάργαρος
Γάργαρον	noun	lex917.1_Γάργαρον
Γίγαντες	noun	lex946.1_Γίγας
Γανυμήδεα	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1013.1_Γανυμήδη
Γανυμήδης	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1013.1_Γανυμήδη
Γερήνιος	noun	lex1075.1_Γερήνιος
Γερήνοις	noun	lex936.1_Γέρηνος
Γιγάντων	noun	lex946.1_Γίγας
Γιγάντων	noun	lex946.1_Γίγας
Γλαυκόν	adjective	lex16403.1_γλαυκός
Γλαύκη	noun	lex1133.1_Γλαύκη
Γλαύκου	verb	lex16408.1_γλαυκόω
Γλαύκου	noun	lex16427.1_γλαῦκος
Γλαύκου	noun	_Γλαύκος
Γλαύκου	noun	lex1136.1_Γλαῦκος
Γλαύκωνα	noun	lex1135.1_Γλαύκων
Γλαύκου	noun	_Γλαύκος
Γλαύκου	noun	lex1136.1_Γλαῦκος
Γλαύκου	verb	lex16408.1_γλαυκόω
Γλαύκου	noun	lex16427.1_γλαῦκος
Γλαῦκον	noun	lex1136.1_Γλαῦκος
Γλαῦκον	noun	lex16427.1_γλαῦκος
Γλαῦκον	noun	_Γλαύκος
Γλαῦκος	noun	lex1136.1_Γλαῦκος
Γλαῦκος	noun	_Γλαύκος
Γλαῦκος	noun	lex16427.1_γλαῦκος
Γλαῦκος	noun	lex16424.1_γλαύξ
Γλίσαντα	noun	lex1122.1_Γλίσας
Γοργοῦς	noun	lex1256.1_Γόργω
Γοργοῦς	noun	lex1189.1_Γοργώ
Γοργόνα	noun	lex1190.1_Γοργών
Γοργόνα	noun	lex1186.1_Γοργόνη
Γοργόνος	noun	lex1190.1_Γοργών
Γοργός	adjective	lex16800.1_γοργός
Γοργῷ	adjective	lex16800.1_γοργός
Γραμματικοῦ	adjective	lex16881.1_γραμματικός
Γράνικος	noun	lex1203.1_Γράνικος
Γυγαίη	noun	lex1231.1_Γυγαίη
Γυγαίῃ	noun	lex1231.1_Γυγαίη
Γόρτυνά	noun	lex1261.1_Γόρτυς
Γόρτυνά	noun	lex1260.1_Γόρτυνα
Γὰργαρον	noun	lex918.1_Γάργαρος
Γὰργαρον	noun	lex917.1_Γάργαρον
Γὸργην	noun	lex1253.1_Γόργη
Γῆ	noun	lex1035.1_Γαῖα
Γῆ	noun	lex17292.1_γῆ
Γῆς	noun	lex1035.1_Γαῖα
Γῆς	noun	lex17292.1_γῆ
Γῇ	noun	lex1035.1_Γαῖα
Γῇ	noun	lex17292.1_γῆ
Δάρδανοι	noun	lex1303.1_Δάρδανος
Δάρδανος	noun	lex1303.1_Δάρδανος
Δάρης	noun	lex1304.1_Δάρης
Δάρης	verb	lex17437.1_δέρω
Δάρης	noun	lex1301.1_Δάρα
Δάρης	noun	lex1302.1_Δάρας
Δάρητος	noun	lex1304.1_Δάρης
Δάφνη	noun	lex1310.1_Δάφνη
Δάφνη	noun	lex17370.1_δάφνη
Δέρης	noun	lex18218.1_δειρή
Δήμητρος	noun	lex1605.1_Δημήτηρ
Δήμω	noun	lex23677.1_δῆμος
Δήμω	noun	lex1989.1_Δῆμος
Δία	noun	lex2415.1_Ζεύς
Δία	noun	lex1362.1_Δίον
Δία	adjective	lex23684.1_δῖος
Δίας	adjective	lex23684.1_δῖος
Δίας	noun	lex1345.1_Δίη
Δίδυμον	noun	lex1343.1_Δίδυμος
Δίδυμον	adjective	lex17523.1_δίδυμος
Δίδυμος	noun	lex1343.1_Δίδυμος
Δίδυμος	adjective	lex17523.1_δίδυμος
Δίκτυϊ	noun	lex1354.1_Δίκτυς
Δίκτυϊ	noun	lex17589.1_δίκτυς
Δίου	verb	lex17734.1_δίω
Δίου	noun	lex1993.1_Δῖος
Δίου	noun	lex1362.1_Δίον
Δίου	verb	lex17530.1_δίεμαι
Δίου	adjective	lex23684.1_δῖος
Δαίδαλος	noun	lex1373.1_Δαίδαλος
Δαιδάλου	noun	lex1373.1_Δαίδαλος
Δανάη	noun	lex1447.1_Δανάη
Δανάης	noun	lex1447.1_Δανάη
Δαναοί	noun	lex1454.1_Δαναός
Δαναοί	noun	lex1453.1_Δαναοί
Δαναούς	noun	lex1453.1_Δαναοί
Δαναούς	noun	lex1454.1_Δαναός
Δαναοὶ	noun	lex1453.1_Δαναοί
Δαναοὶ	noun	lex1454.1_Δαναός
Δαναοὺς	noun	lex1453.1_Δαναοί
Δαναοὺς	noun	lex1454.1_Δαναός
Δαναοῖσι	noun	lex1454.1_Δαναός
Δαναοῖσι	noun	lex1453.1_Δαναοί
Δαναοῖσιν	noun	lex1453.1_Δαναοί
Δαναοῖσιν	noun	lex1454.1_Δαναός
Δαναοῦ	noun	lex1454.1_Δαναός
Δαναὸν	noun	lex1454.1_Δαναός
Δαναὸς	noun	lex1454.1_Δαναός
Δαναΐδες	noun	lex1451.1_Δαναίδες
Δαναῶν	noun	lex1454.1_Δαναός
Δαναῶν	noun	lex1453.1_Δαναοί
Δαναῷ	noun	lex1454.1_Δαναός
Δαρδάνιαι	noun	lex1459.1_Δαρδανία
Δαρδάνιαι	adjective	lex1458.1_Δαρδάνιος
Δαρδάνου	noun	lex1303.1_Δάρδανος
Δαρδάνων	noun	lex1303.1_Δάρδανος
Δαρδανίδαο	noun	lex1460.1_Δαρδανίδης
Δαρδανίων	noun	lex1462.1_Δαρδανίων
Δαρδανίων	adjective	lex1458.1_Δαρδάνιος
Δαρδανίας	adjective	lex1458.1_Δαρδάνιος
Δαρδανίας	noun	lex1459.1_Δαρδανία
Δαυλιέως	noun	lex1486.1_Δαυλιεύς
Δαυλιέως	noun	lex1494.1_Δαύλιος
Δειμός	noun	lex18158.1_δειμός
Δεκέλειαν	noun	lex1521.1_Δεκέλεια
Δελφοί	noun	lex1540.1_Δελφοί
Δελφοὺς	noun	lex1540.1_Δελφοί
Δελφοῖς	noun	lex1540.1_Δελφοί
Δελφῶν	noun	lex1540.1_Δελφοί
Δεξιάδην	noun	lex1550.1_Δεξιάδη
Δευκαλίδαο	noun	lex1569.1_Δευκαλίδης
Δευκαλίων	noun	lex1570.1_Δευκαλίων
Δεῖμον	verb	lex17409.1_δέμω
Δεῖμον	noun	lex1577.1_Δεῖμος
Δεῖμος	noun	lex1577.1_Δεῖμος
Δηλοῖ	verb	lex18687.1_δηλόω
Δημήτηρ	noun	lex1605.1_Δημήτηρ
Δημήτριον	adjective	lex1608.1_Δημήτριος
Δημήτριον	noun	_Δημ́ητριος
Δημήτριος	adjective	lex1608.1_Δημήτριος
Δημήτριος	noun	_Δημ́ητριος
Δημητριακὸν	adjective	lex1616.1_Δημητριακός
Δημητρίω	noun	_Δημ́ητριος
Δημητρίω	adjective	lex1608.1_Δημήτριος
Δημοσθένης	noun	lex1635.1_Δημοσθένης
Δημοσθένης	noun	lex1635.1_Δημοσθένης
Δημόκριτος	noun	lex1646.1_Δημόκριτος
Δημήτριος	adjective	lex1608.1_Δημήτριος
Δημήτριος	noun	_Δημ́ητριος
Δημῶ	noun	lex18798.1_δημός
Δημῶ	noun	lex1654.1_Δημώ
Δηϊάνειραν	noun	lex1581.1_Δηιάνειρα
Δηϊπύλην	noun	lex1585.1_Δηιπύλη
Διΐ	noun	lex2415.1_Ζεύς
Διά	noun	lex2415.1_Ζεύς
Διά	preposition	lex18824.1_διά
Διδύμου	adjective	lex17523.1_δίδυμος
Διδύμου	noun	lex1343.1_Δίδυμος
Διδύμου	noun	lex1343.1_Δίδυμος
Διδύμου	adjective	lex17523.1_δίδυμος
Δικαιάρχῳ	noun	lex1702.1_Δικαίαρχος
Διογένης	noun	lex1718.1_Διογένης
Διογένους	noun	lex1718.1_Διογένης
Διομήδεας	noun	lex1735.1_Διομήδης
Διομήδεος	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1734.1_Διομήδη
Διομήδης	noun	lex1735.1_Διομήδης
Διομήδους	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1734.1_Διομήδη
Διομήδης	noun	lex1735.1_Διομήδης
Διομήδους	noun	lex1735.1_Διομήδης
Διονυσίου	adjective	lex1760.1_Διονύσιος
Διονυσίου	noun	lex1759.1_Διονύσιον
Διονυσίῳ	noun	lex1759.1_Διονύσιον
Διονυσίῳ	adjective	lex1760.1_Διονύσιος
Διονύσιον	adjective	lex1760.1_Διονύσιος
Διονύσιον	noun	lex1759.1_Διονύσιον
Διονύσιος	adjective	lex1760.1_Διονύσιος
Διονύσου	noun	lex1761.1_Διονύσος
Διονύσου	noun	lex1811.1_Διόνυσος
Διονύσω	noun	lex1761.1_Διονύσος
Διονύσω	noun	lex1811.1_Διόνυσος
Διονύσῳ	noun	lex1811.1_Διόνυσος
Διονύσῳ	noun	lex1761.1_Διονύσος
Διονύσιος	adjective	lex1760.1_Διονύσιος
Διοσκούροις	noun	lex1817.1_Διόσκοροι
Διοσκούροις	noun	lex1818.1_Διόσκουροι
Διοσκούρους	noun	lex1818.1_Διόσκουροι
Διοσκούρους	noun	lex1817.1_Διόσκοροι
Διοσκούρων	noun	lex1817.1_Διόσκοροι
Διοσκούρων	noun	lex1818.1_Διόσκουροι
Διόδωρον	noun	lex1805.1_Διόδωρος
Διόνυσον	noun	lex1811.1_Διόνυσος
Διός	noun	lex2415.1_Ζεύς
Διώνῃ	noun	lex1824.1_Διώνη
Διὶ̈	noun	lex2415.1_Ζεύς
Διὸς	noun	lex2415.1_Ζεύς
Διόνυσος	noun	lex1811.1_Διόνυσος
Διός	noun	lex2415.1_Ζεύς
Διόσκουροι	noun	lex1817.1_Διόσκοροι
Διόσκουροι	noun	lex1818.1_Διόσκουροι
Διῒ	noun	lex2415.1_Ζεύς
Δολίος	noun	lex1831.1_Δολίος
Δολόπων	noun	lex1961.1_Δόλοψ
Δορικῶς	adjective	lex21838.1_δορικός
Δουλίχιον	noun	lex1859.1_Δουλίχιος
Δουλιχίου	noun	lex1859.1_Δουλίχιος
Δρύαντος	noun	lex1906.1_Δρύας
Δρύοπας	noun	lex22266.1_δρύοψ
Δρύοπας	noun	lex1911.1_Δρύοψ
Δρύαντος	noun	lex1906.1_Δρύας
Δωδωνίδας	noun	lex1932.1_Δωδωνίς
Δωδωνίσι	noun	lex1932.1_Δωδωνίς
Δωδωναίου	adjective	lex1933.1_Δωδωναῖος
Δωδωναῖε	adjective	lex1933.1_Δωδωναῖος
Δωδώνην	noun	lex1934.1_Δωδώνη
Δωρίδος	noun	lex1938.1_Δωρίς
Δωριεῖς	verb	lex23355.1_δωρίζω
Δωριεῖς	noun	lex1942.1_Δωριεύς
Δωριεῦσι	noun	lex1942.1_Δωριεύς
Δωρικὴ	adjective	lex1943.1_Δωρικός
Δωρικὸν	adjective	lex1943.1_Δωρικός
Δωρικώτερον	adjective	lex1943.1_Δωρικός
Δωρικῶς	adjective	lex1943.1_Δωρικός
Δωρόθεος	noun	lex1946.1_Δωρόθεος
Δωρὶς	noun	lex1938.1_Δωρίς
Δωρίδα	noun	lex1938.1_Δωρίς
Δϊός	noun	lex2415.1_Ζεύς
Δόλοπα	noun	lex1961.1_Δόλοψ
Δόλοψ	noun	lex1961.1_Δόλοψ
Δόλων	verb	lex21749.1_δολόω
Δόλων	noun	lex1962.1_Δόλων
Δόλων	noun	lex23417.1_δόλων
Δόλων	noun	lex23413.1_δόλος
Δόλωνα	noun	lex1962.1_Δόλων
Δόλωνα	noun	lex23417.1_δόλων
Δόλωνος	noun	lex1962.1_Δόλων
Δόλωνος	noun	lex23417.1_δόλων
Δόριον	noun	lex1965.1_Δόριος
Δώριον	adjective	lex1981.1_Δώριος
Δώριον	verb	lex23354.1_δωρέω
Δάρδανον	noun	lex1303.1_Δάρδανος
Δήλῳ	noun	lex1988.1_Δῆλος
Δήλῳ	adjective	lex23675.1_δῆλος
Δία	noun	lex2415.1_Ζεύς
Δία	adjective	lex23684.1_δῖος
Δία	noun	lex1362.1_Δίον
Δίδυμος	adjective	lex17523.1_δίδυμος
Δίδυμος	noun	lex1343.1_Δίδυμος
Δίά	noun	lex2415.1_Ζεύς
Δίά	noun	lex1362.1_Δίον
Δίά	adjective	lex23684.1_δῖος
Δόλοπα	noun	lex1961.1_Δόλοψ
Δόλοπι	noun	lex1961.1_Δόλοψ
Δόλοψ	noun	lex1961.1_Δόλοψ
Δόλωνα	noun	lex1962.1_Δόλων
Δόλωνα	noun	lex23417.1_δόλων
Δύσπαρις	noun	lex1976.1_Δύσπαρις
Δώριον	verb	lex23354.1_δωρέω
Δώριον	adjective	lex1981.1_Δώριος
Δῆλον	adjective	lex23675.1_δῆλος
Δῆλον	noun	lex1988.1_Δῆλος
Δῖαν	adjective	lex23684.1_δῖος
Ευριπίδῃ	noun	_Ευριπίδης
Ευριπίδῃ	noun	_Ευριπίδης
Εἰλείθυιαι	noun	lex2009.1_Εἰλείθυια
Εἰλειθυίας	noun	lex2009.1_Εἰλείθυια
Εὐήνου	noun	lex2300.1_Εὔηνος
Εὐβοίας	noun	lex2290.1_Εὔβοια
Εὐβοίᾳ	noun	lex2290.1_Εὔβοια
Εὐμήλοιο	noun	lex2315.1_Εὔμηλος
Εὐμόλπου	noun	lex2317.1_Εὔμολπος
Εὐριπίδης	noun	lex2162.1_Εὐριπίδης
Εὐριπίδης	noun	lex25695.1_εὐριπίδης
Εὐριπίδῃ	noun	lex25695.1_εὐριπίδης
Εὐριπίδῃ	noun	lex2162.1_Εὐριπίδης
Εὐριπίδης	noun	lex25695.1_εὐριπίδης
Εὐριπίδης	noun	lex2162.1_Εὐριπίδης
Εὐριπίδῃ	noun	lex25695.1_εὐριπίδης
Εὐριπίδῃ	noun	lex2162.1_Εὐριπίδης
Εὐρυβάτης	noun	lex2169.1_Εὐρυβάτης
Εὐρυμέδοντα	noun	lex2189.1_Εὐρυμέδων
Εὐρυνόμη	noun	lex2193.1_Εὐρυνόμη
Εὐρυνόμης	noun	lex2193.1_Εὐρυνόμη
Εὐρυπύλης	noun	lex2196.1_Εὐρυπύλη
Εὐρυπύλου	noun	lex2229.1_Εὐρύπυλος
Εὐρυσάκη	noun	lex2199.1_Εὐρυσάκης
Εὐρυσθεὺς	noun	lex2201.1_Εὐρυσθεύς
Εὐρυσθέα	noun	lex2201.1_Εὐρυσθεύς
Εὐρυτίδης	noun	lex2203.1_Εὐρυτίδης
Εὐρύαλος	noun	lex2217.1_Εὐρύαλος
Εὐρύπυλον	noun	lex2229.1_Εὐρύπυλος
Εὐρύπυλος	noun	lex2229.1_Εὐρύπυλος
Εὐρύτου	noun	lex2332.1_Εὔρυτος
Εὐρώπης	noun	lex2237.1_Εὐρώπης
Εὐρώπης	noun	lex2236.1_Εὐρώπη
Εὐρώπῃ	noun	lex2236.1_Εὐρώπη
Εὐρώπῃ	noun	lex2237.1_Εὐρώπης
Εὐρύαλος	noun	lex2217.1_Εὐρύαλος
Εὐρώπης	noun	lex2236.1_Εὐρώπη
Εὐρώπης	noun	lex2237.1_Εὐρώπης
Εὐτέρπης	noun	lex2247.1_Εὐτέρπη
Εὐφορίων	noun	lex2267.1_Εὐφορίων
Εὐφορίωνι	noun	lex2267.1_Εὐφορίων
Εὐφορίωνος	noun	lex2267.1_Εὐφορίων
Εὐφράνωρ	noun	lex2270.1_Εὐφράνωρ
Εὐφόρβου	noun	lex2344.1_Εὔφορβος
Εὐφόρβου	noun	lex2344.1_Εὔφορβος
Εὔβοια	noun	lex2290.1_Εὔβοια
Εὔβοιαν	noun	lex2290.1_Εὔβοια
Εὔμαιος	noun	lex2312.1_Εὔμαιος
Εὔμηλον	noun	lex2315.1_Εὔμηλος
Εὔμηλος	noun	lex2315.1_Εὔμηλος
Εὔμολπον	noun	lex2317.1_Εὔμολπος
Εὔμολπος	noun	lex2317.1_Εὔμολπος
Εὔνηον	noun	lex2319.1_Εὔνηος
Εὔξεινος	noun	lex2324.1_Εὔξεινος
Εὔφημον	noun	lex2342.1_Εὔφημος
Εὔφημος	noun	lex2342.1_Εὔφημος
Εὔφορβον	noun	lex2344.1_Εὔφορβος
Εὔφορβος	noun	lex2344.1_Εὔφορβος
Εὔϊνὸν	adjective	lex26309.1_εὔινος
Ζέλειαν	noun	lex2373.1_Ζέλεια
Ζέφυρος	noun	lex2375.1_Ζέφυρος
Ζήθου	noun	lex2464.1_Ζῆθος
Ζελείταις	noun	lex2401.1_Ζελείτης
Ζεφυρίῳ	noun	lex2412.1_Ζεφύριος
Ζεφυρίῳ	noun	lex2411.1_Ζεφύριον
Ζεφύρου	noun	lex2375.1_Ζέφυρος
Ζεύς	noun	lex2415.1_Ζεύς
Ζεὺς	noun	lex2415.1_Ζεύς
Ζεύς	noun	lex2415.1_Ζεύς
Ζεῦ	noun	lex2415.1_Ζεύς
Ζεῦ	verb	lex26684.1_ζέω
Ζηνοδοτείῳ	adjective	lex2424.1_Ζηνοδότειος
Ζηνοδότειος	adjective	lex2424.1_Ζηνοδότειος
Ζηνοδότου	noun	lex2430.1_Ζηνόδοτος
Ζηνοδότω	noun	lex2430.1_Ζηνόδοτος
Ζηνοδότῳ	noun	lex2430.1_Ζηνόδοτος
