urn:cts:greekLit:tlg5026.msA.hmt:11.14	Vector(_ὅτι1, _ὅστις, _ὅτι2, _νῦν, _μέν, _χρυσόηλος, _εἰς, _ἐν, _ἄλλος, lex17379.1_δέ, _ἀργυρόηλος, _ἤτοι, κατ, επιφορὰν, _ἤ2, _ἤ1, δια, _ὁ, ἀριστίαν, _κοσμέω, lex19090.1_διάφορος, _πανοπλία)
urn:cts:greekLit:tlg5026.msAim.hmt:15.71	Vector(lex16845.1_γράφω, _διώκω)
urn:cts:greekLit:tlg5026.msAim.hmt:11.62	Vector(ουτ, _οὕτως, Ἀρίσταρχ, _ἀρίσταρχος, _Ἀρίσταρχος, _ῥήσσω, _ῥήγνυμι, _τε, δτ, _διά, _τις, _τίς, _ὁ, _τε)
urn:cts:greekLit:tlg5026.msA.hmt:8.134	Vector(_οὐδείς, φροντιδ, φρόντιδος, _ἄξιος, ἀπο, _ὁ, _ὦρος, _ὠρέω, _ὤρα, _ὤρα, _ὦρος, lex15537.1_γάρ, _ὁ, φροντις)
urn:cts:greekLit:tlg5026.msAil.hmt:2.165	Vector(_ἀντί, _τις, _τίς, _ὁ, lex2837.1_Θυέστης, lex28733.1_θυέστης)
urn:cts:greekLit:tlg5026.msAint.hmt:11.14	Vector(αντι, _τις, _τίς, _ὁ, αλλω, _ἀνά-λόω, ὑπ, εμεῖο, _πέμπω)
urn:cts:greekLit:tlg5026.msAint.hmt:9.145	Vector(Αρισταρχος, _ἐπικουρέω, _κόρη, _κουρά, Βρισηος, επ, ι, lex17379.1_δέ, _μέγας, ορκον, _ὁμόω)
urn:cts:greekLit:tlg5026.msAil.hmt:14.C3	Vector(τρίκκοκα)
urn:cts:greekLit:tlg5026.msAint.hmt:17.14	Vector(_προσληπτέον, _προσληπτέος, _ὁ, lex25282.1_εὐλαβέομαι)
urn:cts:greekLit:tlg5026.msAim.hmt:18.5	Vector(Αρισταρχ, _ἀρίσταρχος, _Ἀρίσταρχος, _χοῦς2, _χωρίς, _τις, _τίς, _ὁ, θ, Άλεια, παρα, _ὁ, άλα)
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_7	Vector(οτ, _ὅτι1, _ὅστις, _ὅτι2, _ὁ, lex26605.1_εὔχομαι, _σαφής, εστ, _εἰμί, αὐχώμενος, _παρά, _πηρός, _ὁ, lex12971.1_αὐχέω)
urn:cts:greekLit:tlg5026.msA.hmt:10.8	Vector(ἥτοι, _μεταφορικός, _ὁ, _ἀρχή, _ἀρχήν, _τις, _τίς, _ὁ, _πολεμόω, _πόλεμος, _ὁ, _περιφραστικός, _ὅλοξ, _ὅλος, αὐτον, δι, _ὅτι1, _ὅστις, _ὅτι2, _πᾶς, lex17967.1_δαπανητικός)
urn:cts:greekLit:tlg5026.msA.hmt:12.A5	Vector(lex13910.1_βελτίων, _ὁ, εὑρὺ, _ὁ, _ἐπάνω, _συνάπτω, _ἀμφίβολος, lex17379.1_δέ, _πότερος, _ὕπερθεν, lex25780.1_εὐρύς, ἀρετῆ, lex15537.1_γάρ, _τεῖχος, _ἕως, _ἠώς, _ἄνω2, _ἄνω1, _ἄνοος, _πλατύνω, _ἤ2, _ἤ1, _ὁ, _ὅς, _καί, lex13910.1_βελτίων, _ὕπερθεν, _ὁ, _τάφρος, _οὗτος, lex15537.1_γάρ, _ὑπέρκειμαι)
urn:cts:greekLit:tlg5026.msA.hmt:17.60	Vector(_μάλιστα, _ὁ, _ἕκτωρ, _Ἕκτωρ, _μέλλω, _κινέω, _καί, _οὗτος, _ἠμί, _εἰμί, _ἀναγκαῖος, _ἀναγκαῖον, _οὗτος, _πρότερος, _πρῶτος, _χράω2, _χράομαι, _χραύω, _χράω1)
urn:cts:greekLit:tlg5026.msAil.hmt:11.40	Vector(_λαμπηδών)
urn:cts:greekLit:tlg5026.msAint.hmt:8.55	Vector(Αρισταρχ, Αρισταρχος, _διά, τ, _τις, _τίς, _ὁ, ο, οπλίζοντο)
urn:cts:greekLit:tlg5026.msAil.hmt:12.J3	Vector(_δίθυρος)
urn:cts:greekLit:tlg5026.msAil.hmt:7.3018	Vector(οτ, _ὅτι1, _ὅστις, _ὅτι2, δια, πὺρος, εθαπτοντ, _θάπτω, _πᾶς)
urn:cts:greekLit:tlg5026.msAim.hmt:11.37	Vector(lex102547.1_ἐθέλω, _λέγω1, _λέγω3, _λέγω2, _ὅτι1, _ὅστις, _ὅτι2, ἀπο, _τις, _τίς, _ὁ, lex17421.1_δέος, _μέγας, _ἅλλομαι)
urn:cts:greekLit:tlg5026.msAint.hmt:14.E4	Vector(οτ, _ὅτι1, _ὅστις, _ὅτι2, _πάλιν, _συλληπτικός, _οὐ, lex15537.1_γάρ, _πᾶς, _βάλλω)
urn:cts:greekLit:tlg5026.msA.hmt:8.167	Vector(ἐπι, _ὁ, _ἄντομαι, _ἄνθη, _ἄντα, _ἄντη, _συλλαβή, _ὁ, _ὀξύς2, _ἵνα, _ὁ, _πλήρης, _εἰμί, _ἀντάω, _ἄντη, _ἄντα, _οὕτως, lex17379.1_δέ, _ἀξιόω, lex1608.1_Δημήτριος, _Δημ́ητριος, _ὁ, Γονύπεσός, _καί, _ἐμός, _ἐγώ, lex17379.1_δέ, _οὕτως, _ἀρέσκω, _ὁ, _ὁ, lex18954.1_διάνοια, _ἄντικρυς, lex15537.1_γάρ, lex10604.1_Τρώς, ἑκατ, _ἑκατόν, _καί, _διακόσιοι, lex24378.1_εἷς, _ἕκαστος, _ἵστημι, _φημί, _οὐ, lex15537.1_γάρ, _κωλύω, _ὁ, _τις, _τίς, _ὁ, _ἀντάω, _ἄντη, _ἄντα, _σύνταξις, lex24364.1_εἶμι, lex15916.1_γε, ἐπι, lex16070.1_γενικός, _φέρω)
urn:cts:greekLit:tlg5026.msA.hmt:4.448	Vector(_ὅτι1, _ὅστις, _ὅτι2, δια, _πᾶς, lex120807.1_ὁ, _τράπεζα, lex51683.1_παράκειμαι, _καί, _πλήρης, _ὁ, _τίς, _ποτήριον, _ὁ, _εἰς, _ἐν, _τιμή, _τιμάω, _τιμέω, _κεῖμαι, _ὁ, lex17379.1_δέ, _ἄλλος, προς, _μέρος, _ἐγχύνω)
urn:cts:greekLit:tlg5026.msAil.hmt:12.H23	Vector(_ὁ, _πολέμιος)
urn:cts:greekLit:tlg5026.msA.hmt:10.3546	Vector(_ὅτι1, _ὅστις, _ὅτι2, _τῷ, _τις, _ὁ, _τίς, _ἐπείγω, _ὁριστικός, ἀντι, _ὑποτακτικός, _τις, _τίς, _ὁ, _ἐπείγω, _ἐπιφέρω, lex15537.1_γάρ, _προθέω1, _προτίθημι, _προθέω, lex15628.1_γίγνομαι, _οὖν, _κατάλληλος, ουτ, _οὕτως, _ὡς, lex17379.1_δέ, _ὅταν, ἐπείγῳσιν, _ὁ, lex17379.1_δέ, _προθέω1, _προτίθημι, _προθέω, μεμαῶς)
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_6	Vector(_ὅτι1, _ὅστις, _ὅτι2, _ὁ, ϊαύειν, _οὐ, lex23940.1_εἰμί, _νῦν, _κοιμάω, ἀλλ, επαυλίζεσθαι, _ὡς, _καί, _ἐγώ, _πολύς, _μέν, _ἄυπνος, _νύξ, ΐαυον, _ὅτι1, _ὅστις, _ὅτι2, ἀντι, _τις, _τίς, _ὁ, αί, _ἄν1, _ἐθέλω)
urn:cts:greekLit:tlg5026.msAint.hmt:7.2026	Vector(οτ, _ὅτι1, _ὅστις, _ὅτι2, _ὁ, δε, περισσος)
urn:cts:greekLit:tlg5026.msAil.hmt:1.745	Vector(_πάνυ, lex28143.1_θεῖος1, lex27564.1_θεία)
urn:cts:greekLit:tlg5026.msA.hmt:1.1063	Vector(_ῥῆμα, _εἰμί, κατα, _πᾶς, _ἀριθμέω, _ἀριθμός, _φέρω, _ὡς, lex17462.1_δή, _μή, _ὀφείλω, _νικάω, _νίκη, _ὅς, _ὡς, _ἐγώ, _ἐγώγε, _ὀφείλω, Έκτωρ, _κτείνω, _ὡς, μη, όφελ', Ἔκτορα, _λίσσομαι, _λίζω, lex30650.1_καλλίμαχος, lex3218.1_Καλλίμαχος, lex17379.1_δέ, _ἐπίρρημα, lex25259.1_εὐκτικός, _ὀφέλλω, _μηδέ, _γίγνομαι, lex28471.1_θοός, _ναῦς)
urn:cts:greekLit:tlg5026.msAil.hmt:9.486	Vector(_καταβρέχω)
urn:cts:greekLit:tlg5026.msA.hmt:9.356	Vector(δια, _τίς, _τις, _ἐξαπατάω, _φημί, _ὁ, _Ἀχιλλεύς, ὑπο, _τις, _τίς, _ὁ, _Ἀγαμέμνων, _ἀφαιρέω, lex17379.1_δέ, _τις, _τίς, _ὁ, lex15597.1_γέρας, _ἥκιστος, lex15537.1_γάρ, _ὁ, _ὕβρις, _ἀπάτη, _ἀπατάω, _ἤ2, _ἤ1, _ὅτι1, _ὅστις, _ὅτι2, _τέος, _τέως, _φίλος, ῶν, _ἀναφαίνω, _ἐχθρός, _οὗτος, _λέγω1, _λέγω2, _λέγω3, _ὁ, _ἀπατάω, _ἀπάτη, _παρακελεύομαι, _τῷ, _τις, _ὁ, _τίς, _Ὀδυσσεύς, _φυλάσσω, _καί, _μή, _προσέχω, _ὡς, _φίλος, _καί, _ὁ, lex17525.1_δίδωμι, _μέντοι, _ἔπειτα, _ἀφαιρέω, _πατέω, _ἀπατάω, _ἀπάτη, _εἰμί, _ὁ, _ὅς, lex15537.1_γάρ, _φημί, _οὐ, _ποιέω)
urn:cts:greekLit:tlg5026.msAim.hmt:18.49	Vector(ελλειπ, ελλείπει, _ὁ, _μή, σπευδοντ, _σπεύδω)
urn:cts:greekLit:tlg5026.msAim.hmt:9.668	Vector(lex16845.1_γράφω, _καί, _φράζω, lex2430.1_Ζηνόδοτος, lex17379.1_δέ, _ὁ, στιχον, _οὐ, έγραφεν, Ἀριστοφα, _Ἀριστοφάνης, lex17379.1_δέ, ἡθέτει)
urn:cts:greekLit:tlg5026.msA.hmt:10.1501	Vector(οὶκεία, _στολή, _τῷ, _τις, _ὁ, _τίς, lex15605.1_γέρων, δια, _ὁ, lex17295.1_γῆρας, _καί, _ὁ, _νύξ)
urn:cts:greekLit:tlg5026.msAil.hmt:6.A13	Vector(α)
urn:cts:greekLit:tlg5026.msA.hmt:11.74	Vector(_ἤτοι, _ὁ, _ἐπίσωτρον, _ἐπίσσωτρον, _κόπτω, _ὁ, lex17292.1_γῆ, lex1035.1_Γαῖα, _ἤ2, _ἤ1, _ὅτι1, _ὅστις, _ὅτι2, _συντακτέον, _οὗτος, _ὁ, _πεζός, _μέν, πεζοῦς, όλεκον, _ἱππεύς, lex17379.1_δέ, ἰππῆας, _ὁ, _ἕ, lex15537.1_γάρ, _ὁ, _ἕ, _ὁ, _ἵππος, _πούς, _χαλκοῦς, _χάλκεος, _τιτρώσκω)
urn:cts:greekLit:tlg5026.msA.hmt:15.143	Vector(_ὅτι1, _ὅστις, _ὅτι2, _ἤτοι, _ἠθικός, _λέγω2, _λέγω1, _λέγω3, _ἐλπίζω, _ἐμβαίνω, ὲπι, _ὁ, _καίω, _ναῦς, ἠ, _καί, ἑλπίζετε, _ἐμβαίνω, ἐπι, _ὁ, _θάλασσα, _ἀφίζω, _ἀφικνέομαι, _ἐπί, _ὁ, _πατρίς, _ὅς, _ὁ, _εἰμί, lex13064.1_βάδην, ἐπι, _ὁ, lex27206.1_θάλασσα, _πορεύω)
urn:cts:greekLit:tlg5026.msA.hmt:3.464	Vector(μετα, _οὗτος, lex18632.1_δεόντως, _καί, _κλῆρος, _ποιέω, περι, _ὁ, _ἄφεσις, _τις, _τίς, _ὁ, lex23441.1_δόρυ, _ὥστε, _μή, _θόρυβος, _ἐμπίτνω, _τις, _τίς, _ὁ, _ὕστερος, _ὕστερον, _φθάζω, _φθάνω, δια, _ὁ, _πρῶτος, _πρότερος, lex14339.1_βολή, lex14338.1_βολέω, _ἀναιρέω, _ὁ, _πολέμιος, _πολεμέω, _ψῆφος, δε, _τίς, _τίνω, _τις, _εἰμί, _ὁ, _ἕ, κλήροι·, lex24000.1_εἰς, _ὅς, _σημειόω, _ἕκαστος, _ὅς, _οὕτως, _ὀνομάζω, δια, _ὁ, _καλέω, _ὑπό, lex12917.1_αὐτός, lex24000.1_εἰς, _ὁ, _πράσσω, _πρᾶξις)
urn:cts:greekLit:tlg5026.msAil.hmt:2.733	Vector(_ὅτι1, _ὅστις, _ὅτι2, αντι, _τις, _τίς, _ὁ, _κλυτός, κλυτος, lex24366.1_εἶπον)
urn:cts:greekLit:tlg5026.msAim.hmt:5.6093	Vector(_ὁ, πληρες, _εἰμί, τεα, _διό, lex13620.1_βαρυτονητέος, επιφέρει, lex16828.1_γοῦν, _καί, _τεός, _ἵππος)
urn:cts:greekLit:tlg5026.msAil.hmt:10.4604	Vector(_ὁ, _εἰς, _ἐν, _φανερόω, _φανερός, _κεῖμαι)
urn:cts:greekLit:tlg5026.msAil.hmt:1.829	Vector(_ὑποχωρέω)
urn:cts:greekLit:tlg5026.msAil.hmt:2.157	Vector(_ὁ, _ἡμός, lex12309.1_αὐδή, ἠ, όπαδος, _παρά, _πηρός, _ὁ, όπα)
urn:cts:greekLit:tlg5026.msA.hmt:12.J8	Vector(_ὅτι1, _ὅστις, _ὅτι2, _εἷς, _πύλη, _πληθυντικός, lex17379.1_δέ, lex113787.1_ἔρομαι, lex111311.1_ἐρῶ, lex24312.1_εἴρω2, lex24311.1_εἴρω, _καί, _ὅτι1, _ὅστις, _ὅτι2, _φεύγω, _ὡς, ἐπι, _ὁ, _ναῦς, δια, _οὗτος, lex17379.1_δέ, lex24020.1_εἰσέρχομαι, _ὁ, _πύλη, δι, ῆς, _ὁ, Εκτωρ)
urn:cts:greekLit:tlg5026.msAint.hmt:4.68	Vector(ορθοτονητ, _ὀρθοτονητέον, _ὁ, _σύ, _σός, lex23451.1_δύναμαι, lex15537.1_γάρ, ἀντιδιαστ, _ἀντιδιαστολή, εἰναι)
urn:cts:greekLit:tlg5026.msAil.hmt:17.19	Vector(_δοκέω, ενόμισα)
urn:cts:greekLit:tlg5026.msA.hmt:2.429	Vector(_στικτέον, μετα, _ὁ, ἀχνυμενοι, _πέρ, _ἔπειμι2, _ἔπος, τα, ἀπάλλης, ἀρχης, _ἀναγνωστέον, _ἕ, _ἵημι, _ᾗ, _ὅς, _ὁ, _ἕ, lex17379.1_δέ, _Ἕλλην, _καί, _τοι, _σύ, _λυπέω, δια, _ὁ, _ἀναβολή, _ὁ, ἐπι, _ὁ, οἵκον, _ἀνακομιδή, _ἡδύς, _γελάω, ἐπι, _τῇ, _ὁ, όψει, _τις, _τίς, _ὁ, lex2647.1_Θερσίτης, _στασιάζω, _πλῆθος, _πληγή, ἠ, γελωτι, _παύω, _ὅς, _ἄμφω, _χράω2, _ὁ, _ποιητός)
urn:cts:greekLit:tlg5026.msAil.hmt:10.65	Vector(_χρεία, _χρέος, _συμβουλή)
urn:cts:greekLit:tlg5026.msA.hmt:1.118	Vector(_ὅτι1, _ὅστις, _ὅτι2, ἄπαξ, lex113787.1_ἔρομαι, lex111311.1_ἐρῶ, lex24312.1_εἴρω2, lex24311.1_εἴρω, _ὁ, _κρήγυος, _καί, _οὐ, lex23940.1_εἰμί, _ἀληθής, ἀλλα, αγαθ, αγαθόν, _ἀντί-διαστέλλω, γοὖν, ἐπι, _ὁ, lex84197.1_ἀεί, _τοι, _σύ, τα, _κακός, lex23940.1_εἰμί, _φῖλος, _φίλος)
