'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
θυμούμενος	lex28875.1_θυμόω
θυμοῦ	lex28875.1_θυμόω lex28873.1_θυμός
θυμοῦσθαι	lex28875.1_θυμόω
θυμόν	lex28873.1_θυμός
θυμός	lex28873.1_θυμός
θυμώδεις	lex28876.1_θυμώδης
θυμήρης	lex28820.1_θυμαρής
θυμὸν	lex28873.1_θυμόςθυμὸς	lex28873.1_θυμός
θυμώντων	lex28875.1_θυμόω
θυμῆρες	lex28820.1_θυμαρής
θυμῶ	lex28875.1_θυμόω lex28873.1_θυμός
θυμῶν	lex28875.1_θυμόω lex29084.1_θύμον lex28873.1_θυμός
θυμῷ	lex28873.1_θυμός
θυομένου	lex29126.1_θύω2 lex29125.1_θύω1
θυρας	
θυρῶν	lex28977.1_θυρόω lex29096.1_θύρα lex28904.1_θυράζω
θυσάνους	lex29113.1_θύσανοςθυσίαι	lex28981.1_θυσία
θυσίαις	lex28981.1_θυσία
θυσίας	lex28981.1_θυσία
θυσιῶν	lex28981.1_θυσία lex28989.1_θυσιάζω
θυόεν	lex29012.1_θυόεις
θυέλλης	lex29070.1_θύελλα
θυόμενα	lex29125.1_θύω1 lex29126.1_θύω2
θω	
θωπεῦσαι	lex29032.1_θωπεύω
θωρήξομεν	lex29035.1_θωρήσσωθωρήξωμεν	lex29035.1_θωρήσσω
θωρήσσοντο	lex29035.1_θωρήσσω
θωρακοζώνην	lex29044.1_θωρακοζώνη
θωρακοζώνης	lex29044.1_θωρακοζώνη
θωρηχθεντ	
θωρηχθέντες	lex29035.1_θωρήσσω
θωρῆξαι	lex29035.1_θωρήσσω
θωρῆξάισ'	
θως	
θόρυβον	lex29063.1_θόρυβοςθόρυβος	lex29063.1_θόρυβος
θύ	
θύγατρα	lex28744.1_θυγάτηρ
θύγατρες	lex28744.1_θυγάτηρ
θύειν	lex29125.1_θύω1 lex29126.1_θύω2
θύεσθαι	lex29125.1_θύω1 lex29126.1_θύω2
θύματα	lex29149.1_θῦμα
θύμεϊ	lex29084.1_θύμον
θύμω	lex29084.1_θύμον lex28875.1_θυμόω lex29085.1_θύμος
θύραν	lex29096.1_θύραθύρας	lex29096.1_θύρα
θύσε	
θύων	lex29093.1_θύον lex29126.1_θύω2 lex28731.1_θυάω lex29125.1_θύω1
θώρακα	lex29131.1_θώραξ
θώρακος	lex29131.1_θώραξ
θώραξ	lex29131.1_θώραξ
θώραξι	lex29131.1_θώραξ
θώρηκα	lex29131.1_θώραξ
θώρηκος	lex29131.1_θώραξ
θώρηξ	lex29131.1_θώραξθώρηχ'	lex29131.1_θώραξ
θὰς	
θάλασσα	lex27206.1_θάλασσα
θάλασσαν	lex27206.1_θάλασσα
θάμβος	lex27219.1_θάμβος
θάνατον	lex27224.1_θάνατος
θάνε	lex28406.1_θνήσκω
θάντον	
θάρσει	lex27504.1_θαρσέω lex27230.1_θάρσος
θάρσος	lex27230.1_θάρσοςΕὑρώπης	
Εὔβοια	lex2290.1_Εὔβοια
Εὔβοιαν	lex2290.1_Εὔβοια
Εὔμαιος	lex2312.1_Εὔμαιος
Εὔμηλον	lex2315.1_Εὔμηλος
Εὔμηλος	lex2315.1_Εὔμηλος
Εὔμολπον	lex2317.1_Εὔμολπος
Εὔμολπος	lex2317.1_Εὔμολπος
Εὔνηον	lex2319.1_Εὔνηος
Εὔξεινος	lex2324.1_Εὔξεινοςθάττερου	
θάψαντες	lex27227.1_θάπτω
θέλγειν	lex27251.1_θέλγω
θέλει	lex102547.1_ἐθέλω
θέλεις	lex102547.1_ἐθέλω
θέματος	lex27260.1_θέμα
θέσαν	lex73002.1_τίθημι
θέσεως	lex27294.1_θέσις
θέσφατ	
θέσφατα	lex27303.1_θέσφατοςθὴν	lex27313.1_θήν
θήλεας	lex29139.1_θῆλυς
θήλειαι	lex29139.1_θῆλυς
θήλειαν	lex27211.1_θάλλω lex29139.1_θῆλυς
θήνις	
θήραις	lex27316.1_θήρα
θήσεσθαι	lex73002.1_τίθημι
θήσεται	lex73002.1_τίθημι
θόντε	
θόρυβον	lex29063.1_θόρυβοςθύεται	lex29126.1_θύω2 lex29125.1_θύω1
θύμως	lex29085.1_θύμος lex28875.1_θυμόω
θύοντες	lex29125.1_θύω1 lex29126.1_θύω2
θύραν	lex29096.1_θύρα
θύρας	lex29096.1_θύρα
θύρσους	lex28970.1_θυρσόω lex29109.1_θύρσος
θύτην	lex29122.1_θύτης lex29003.1_θυτήρ
θώρακα	lex29131.1_θώραξ
θώρακι	lex29131.1_θώραξ
θώρακος	lex29131.1_θώραξθώραξ	lex29131.1_θώραξ
θώρηκα	lex29131.1_θώραξ
θᾶσσον	lex73535.1_ταχύς lex27233.1_θάσσων
θᾶττον	lex27233.1_θάσσων lex73535.1_ταχύς
θῆκ'	lex73002.1_τίθημι lex27311.1_θήκη
θῆκαν	lex73002.1_τίθημι
θῆκε	lex73002.1_τίθημι
θῆλυν	lex29139.1_θῆλυς
θῆλυς	lex29139.1_θῆλυς
θῆναι	lex27236.1_θάωθῦμα	lex29149.1_θῦμα
θῦνον	lex29092.1_θύνω
